Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Residencia del viajero;Periodo;Total
Total Nacional;10 Comunitat Valenciana;;Total ;2019;15.831.000
Total Nacional;10 Comunitat Valenciana;;Total ;2018;14.069.000
Total Nacional;10 Comunitat Valenciana;;Residentes en el Extranjero;2022;10.357.000
Total Nacional;10 Comunitat Valenciana;;Residentes en el Extranjero;2021;4.457.000
Total Nacional;10 Comunitat Valenciana;;Residentes en el Extranjero;2020;2.685.000
Total Nacional;10 Comunitat Valenciana;;Residentes en el Extranjero;2019;10.128.000
Total Nacional;10 Comunitat Valenciana;;Residentes en el Extranjero;2018;9.193.000
Total Nacional;10 Comunitat Valenciana;;Residentes en España;2022;6.860.000
Total Nacional;10 Comunitat Valenciana;;Residentes en España;2021;6.161.000
Total Nacional;10 Comunitat Valenciana;;Residentes en España;2020;3.987.000
Total Nacional;10 Comunitat Valenciana;;Residentes en España;2019;5.703.000
Total Nacional;10 Comunitat Valenciana;;Residentes en España;2018;4.876.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total ;2022;5.190.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total ;2021;2.898.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total ;2020;1.863.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total ;2019;5.208.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Total ;2018;4.504.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en el Extranjero;2022;3.450.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en el Extranjero;2021;1.532.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en el Extranjero;2020;892.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en el Extranjero;2019;3.556.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en el Extranjero;2018;3.110.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en España;2022;1.740.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en España;2021;1.366.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en España;2020;971.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en España;2019;1.652.000
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;Residentes en España;2018;1.394.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total ;2022;1.743.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total ;2021;1.308.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total ;2020;801.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total ;2019;1.672.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Total ;2018;1.514.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en el Extranjero;2022;518.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en el Extranjero;2021;219.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en el Extranjero;2020;138.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en el Extranjero;2019;462.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en el Extranjero;2018;448.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en España;2022;1.226.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en España;2021;1.089.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en España;2020;663.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en España;2019;1.210.000
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;Residentes en España;2018;1.066.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total ;2022;10.283.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total ;2021;6.411.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total ;2020;4.009.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total ;2019;8.951.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Total ;2018;8.051.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en el Extranjero;2022;6.388.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en el Extranjero;2021;2.705.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en el Extranjero;2020;1.656.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en el Extranjero;2019;6.110.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en el Extranjero;2018;5.635.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en España;2022;3.894.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en España;2021;3.705.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en España;2020;2.353.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en España;2019;2.841.000
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;Residentes en España;2018;2.416.000
Total Nacional;09 Cataluña;;Total ;2022;19.161.000
Total Nacional;09 Cataluña;;Total ;2021;10.674.000
Total Nacional;09 Cataluña;;Total ;2020;7.065.000
Total Nacional;09 Cataluña;;Total ;2019;20.717.000
Total Nacional;09 Cataluña;;Total ;2018;19.479.000
Total Nacional;09 Cataluña;;Residentes en el Extranjero;2022;14.645.000
Total Nacional;09 Cataluña;;Residentes en el Extranjero;2021;6.200.000
Total Nacional;09 Cataluña;;Residentes en el Extranjero;2020;3.825.000
Total Nacional;09 Cataluña;;Residentes en el Extranjero;2019;16.974.000
Total Nacional;09 Cataluña;;Residentes en el Extranjero;2018;16.035.000
Total Nacional;09 Cataluña;;Residentes en España;2022;4.517.000
Total Nacional;09 Cataluña;;Residentes en España;2021;4.474.000
Total Nacional;09 Cataluña;;Residentes en España;2020;3.239.000
Total Nacional;09 Cataluña;;Residentes en España;2019;3.743.000
Total Nacional;09 Cataluña;;Residentes en España;2018;3.444.000
Total Nacional;09 Cataluña;43 Tarragona;Total ;2022;3.362.000
Total Nacional;09 Cataluña;43 Tarragona;Total ;2021;2.265.000
Total Nacional;09 Cataluña;43 Tarragona;Total ;2020;1.328.000
Total Nacional;09 Cataluña;43 Tarragona;Total ;2019;3.303.000
Total Nacional;09 Cataluña;43 Tarragona;Total ;2018;3.052.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en el Extranjero;2022;1.881.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en el Extranjero;2021;817.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en el Extranjero;2020;418.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en el Extranjero;2019;2.087.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en el Extranjero;2018;2.007.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en España;2022;1.482.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en España;2021;1.447.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en España;2020;910.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en España;2019;1.215.000
Total Nacional;09 Cataluña;43 Tarragona;Residentes en España;2018;1.045.000
Total Nacional;09 Cataluña;25 Lleida;Total ;2022;625.000
Total Nacional;09 Cataluña;25 Lleida;Total ;2021;442.000
Total Nacional;09 Cataluña;25 Lleida;Total ;2020;363.000
Total Nacional;09 Cataluña;25 Lleida;Total ;2019;459.000
Total Nacional;09 Cataluña;25 Lleida;Total ;2018;419.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en el Extranjero;2022;153.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en el Extranjero;2021;60.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en el Extranjero;2020;60.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en el Extranjero;2019;120.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en el Extranjero;2018;114.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en España;2022;472.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en España;2021;383.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en España;2020;304.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en España;2019;338.000
Total Nacional;09 Cataluña;25 Lleida;Residentes en España;2018;305.000
Total Nacional;09 Cataluña;17 Girona;Total ;2022;4.767.000
Total Nacional;09 Cataluña;17 Girona;Total ;2021;3.211.000
Total Nacional;09 Cataluña;17 Girona;Total ;2020;2.080.000
Total Nacional;09 Cataluña;17 Girona;Total ;2019;4.286.000
Total Nacional;09 Cataluña;17 Girona;Total ;2018;3.979.000
Total Nacional;09 Cataluña;17 Girona;Residentes en el Extranjero;2022;3.357.000
Total Nacional;09 Cataluña;17 Girona;Residentes en el Extranjero;2021;1.625.000
Total Nacional;09 Cataluña;17 Girona;Residentes en el Extranjero;2020;900.000
Total Nacional;09 Cataluña;17 Girona;Residentes en el Extranjero;2019;3.168.000
Total Nacional;09 Cataluña;17 Girona;Residentes en el Extranjero;2018;2.975.000
Total Nacional;09 Cataluña;17 Girona;Residentes en España;2022;1.409.000
Total Nacional;09 Cataluña;17 Girona;Residentes en España;2021;1.586.000
Total Nacional;09 Cataluña;17 Girona;Residentes en España;2020;1.180.000
Total Nacional;09 Cataluña;17 Girona;Residentes en España;2019;1.118.000
Total Nacional;09 Cataluña;17 Girona;Residentes en España;2018;1.004.000
Total Nacional;09 Cataluña;08 Barcelona;Total ;2022;10.406.000
Total Nacional;09 Cataluña;08 Barcelona;Total ;2021;4.756.000
Total Nacional;09 Cataluña;08 Barcelona;Total ;2020;3.293.000
Total Nacional;09 Cataluña;08 Barcelona;Total ;2019;12.670.000
Total Nacional;09 Cataluña;08 Barcelona;Total ;2018;12.028.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en el Extranjero;2022;9.255.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en el Extranjero;2021;3.698.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en el Extranjero;2020;2.448.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en el Extranjero;2019;11.599.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en el Extranjero;2018;10.939.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en España;2022;1.152.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en España;2021;1.058.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en España;2020;845.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en España;2019;1.072.000
Total Nacional;09 Cataluña;08 Barcelona;Residentes en España;2018;1.089.000
Total Nacional;08 Castilla - La Mancha;;Total ;2022;1.102.000
Total Nacional;08 Castilla - La Mancha;;Total ;2021;687.000
Total Nacional;08 Castilla - La Mancha;;Total ;2020;394.000
Total Nacional;08 Castilla - La Mancha;;Total ;2019;756.000
Total Nacional;08 Castilla - La Mancha;;Total ;2018;569.000
Total Nacional;08 Castilla - La Mancha;;Residentes en el Extranjero;2022;188.000
Total Nacional;08 Castilla - La Mancha;;Residentes en el Extranjero;2021;69.000
Total Nacional;08 Castilla - La Mancha;;Residentes en el Extranjero;2020;41.000
Total Nacional;08 Castilla - La Mancha;;Residentes en el Extranjero;2019;175.000
Total Nacional;08 Castilla - La Mancha;;Residentes en el Extranjero;2018;139.000
Total Nacional;08 Castilla - La Mancha;;Residentes en España;2022;915.000
Total Nacional;08 Castilla - La Mancha;;Residentes en España;2021;618.000
Total Nacional;08 Castilla - La Mancha;;Residentes en España;2020;354.000
Total Nacional;08 Castilla - La Mancha;;Residentes en España;2019;581.000
Total Nacional;08 Castilla - La Mancha;;Residentes en España;2018;429.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total ;2022;521.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total ;2021;296.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total ;2020;164.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total ;2019;398.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Total ;2018;313.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en el Extranjero;2022;123.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en el Extranjero;2021;40.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en el Extranjero;2020;28.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en el Extranjero;2019;129.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en el Extranjero;2018;106.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en España;2022;398.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en España;2021;256.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en España;2020;136.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en España;2019;269.000
Total Nacional;08 Castilla - La Mancha;45 Toledo;Residentes en España;2018;207.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total ;2022;97.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total ;2021;71.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total ;2020;42.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total ;2019;61.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Total ;2018;42.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en el Extranjero;2022;12.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en el Extranjero;2021;7.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en el Extranjero;2020;2.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en el Extranjero;2019;10.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en el Extranjero;2018;9.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en España;2022;86.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en España;2021;64.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en España;2020;40.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en España;2019;51.000
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;Residentes en España;2018;34.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total ;2022;222.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total ;2021;150.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total ;2020;89.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total ;2019;156.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Total ;2018;114.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en el Extranjero;2022;20.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en el Extranjero;2021;9.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en el Extranjero;2020;4.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en el Extranjero;2019;18.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en el Extranjero;2018;12.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en España;2022;202.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en España;2021;141.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en España;2020;85.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en España;2019;138.000
Total Nacional;08 Castilla - La Mancha;16 Cuenca;Residentes en España;2018;102.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total ;2022;126.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total ;2021;86.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total ;2020;49.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total ;2019;78.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Total ;2018;57.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en el Extranjero;2022;20.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en el Extranjero;2021;7.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en el Extranjero;2020;4.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en el Extranjero;2019;11.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en el Extranjero;2018;7.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en España;2022;105.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en España;2021;79.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en España;2020;45.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en España;2019;67.000
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;Residentes en España;2018;50.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total ;2022;136.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total ;2021;84.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total ;2020;51.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total ;2019;63.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Total ;2018;42.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en el Extranjero;2022;13.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en el Extranjero;2021;6.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en el Extranjero;2020;3.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en el Extranjero;2019;7.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en el Extranjero;2018;6.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en España;2022;124.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en España;2021;78.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en España;2020;48.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en España;2019;56.000
Total Nacional;08 Castilla - La Mancha;02 Albacete;Residentes en España;2018;36.000
Total Nacional;07 Castilla y León;;Total ;2022;1.987.000
Total Nacional;07 Castilla y León;;Total ;2021;1.231.000
Total Nacional;07 Castilla y León;;Total ;2020;729.000
Total Nacional;07 Castilla y León;;Total ;2019;1.410.000
Total Nacional;07 Castilla y León;;Total ;2018;1.054.000
Total Nacional;07 Castilla y León;;Residentes en el Extranjero;2022;385.000
Total Nacional;07 Castilla y León;;Residentes en el Extranjero;2021;151.000
Total Nacional;07 Castilla y León;;Residentes en el Extranjero;2020;94.000
Total Nacional;07 Castilla y León;;Residentes en el Extranjero;2019;334.000
Total Nacional;07 Castilla y León;;Residentes en el Extranjero;2018;269.000
Total Nacional;07 Castilla y León;;Residentes en España;2022;1.601.000
Total Nacional;07 Castilla y León;;Residentes en España;2021;1.080.000
Total Nacional;07 Castilla y León;;Residentes en España;2020;634.000
Total Nacional;07 Castilla y León;;Residentes en España;2019;1.076.000
Total Nacional;07 Castilla y León;;Residentes en España;2018;785.000
Total Nacional;07 Castilla y León;49 Zamora;Total ;2022;97.000
Total Nacional;07 Castilla y León;49 Zamora;Total ;2021;68.000
Total Nacional;07 Castilla y León;49 Zamora;Total ;2020;38.000
Total Nacional;07 Castilla y León;49 Zamora;Total ;2019;65.000
Total Nacional;07 Castilla y León;49 Zamora;Total ;2018;44.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en el Extranjero;2022;11.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en el Extranjero;2021;5.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en el Extranjero;2020;3.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en el Extranjero;2019;7.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en el Extranjero;2018;5.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en España;2022;86.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en España;2021;64.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en España;2020;35.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en España;2019;58.000
Total Nacional;07 Castilla y León;49 Zamora;Residentes en España;2018;39.000
Total Nacional;07 Castilla y León;47 Valladolid;Total ;2022;172.000
Total Nacional;07 Castilla y León;47 Valladolid;Total ;2021;107.000
Total Nacional;07 Castilla y León;47 Valladolid;Total ;2020;68.000
Total Nacional;07 Castilla y León;47 Valladolid;Total ;2019;122.000
Total Nacional;07 Castilla y León;47 Valladolid;Total ;2018;84.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en el Extranjero;2022;41.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en el Extranjero;2021;18.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en el Extranjero;2020;12.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en el Extranjero;2019;34.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en el Extranjero;2018;25.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en España;2022;131.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en España;2021;89.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en España;2020;55.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en España;2019;88.000
Total Nacional;07 Castilla y León;47 Valladolid;Residentes en España;2018;59.000
Total Nacional;07 Castilla y León;42 Soria;Total ;2022;110.000
Total Nacional;07 Castilla y León;42 Soria;Total ;2021;69.000
Total Nacional;07 Castilla y León;42 Soria;Total ;2020;33.000
Total Nacional;07 Castilla y León;42 Soria;Total ;2019;51.000
Total Nacional;07 Castilla y León;42 Soria;Total ;2018;31.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en el Extranjero;2022;7.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en el Extranjero;2021;3.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en el Extranjero;2020;1.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en el Extranjero;2019;4.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en el Extranjero;2018;2.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en España;2022;102.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en España;2021;66.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en España;2020;32.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en España;2019;47.000
Total Nacional;07 Castilla y León;42 Soria;Residentes en España;2018;29.000
Total Nacional;07 Castilla y León;40 Segovia;Total ;2022;232.000
Total Nacional;07 Castilla y León;40 Segovia;Total ;2021;143.000
Total Nacional;07 Castilla y León;40 Segovia;Total ;2020;95.000
Total Nacional;07 Castilla y León;40 Segovia;Total ;2019;193.000
Total Nacional;07 Castilla y León;40 Segovia;Total ;2018;153.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en el Extranjero;2022;29.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en el Extranjero;2021;11.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en el Extranjero;2020;8.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en el Extranjero;2019;35.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en el Extranjero;2018;27.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en España;2022;203.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en España;2021;132.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en España;2020;87.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en España;2019;158.000
Total Nacional;07 Castilla y León;40 Segovia;Residentes en España;2018;127.000
Total Nacional;07 Castilla y León;37 Salamanca;Total ;2022;426.000
Total Nacional;07 Castilla y León;37 Salamanca;Total ;2021;246.000
Total Nacional;07 Castilla y León;37 Salamanca;Total ;2020;152.000
Total Nacional;07 Castilla y León;37 Salamanca;Total ;2019;367.000
Total Nacional;07 Castilla y León;37 Salamanca;Total ;2018;313.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en el Extranjero;2022;141.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en el Extranjero;2021;54.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en el Extranjero;2020;35.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en el Extranjero;2019;138.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en el Extranjero;2018;122.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en España;2022;285.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en España;2021;192.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en España;2020;116.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en España;2019;229.000
Total Nacional;07 Castilla y León;37 Salamanca;Residentes en España;2018;191.000
Total Nacional;07 Castilla y León;34 Palencia;Total ;2022;38.000
Total Nacional;07 Castilla y León;34 Palencia;Total ;2021;28.000
Total Nacional;07 Castilla y León;34 Palencia;Total ;2020;17.000
Total Nacional;07 Castilla y León;34 Palencia;Total ;2019;23.000
Total Nacional;07 Castilla y León;34 Palencia;Total ;2018;15.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en el Extranjero;2022;6.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en el Extranjero;2021;3.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en el Extranjero;2020;2.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en el Extranjero;2019;5.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en el Extranjero;2018;4.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en España;2022;33.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en España;2021;26.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en España;2020;15.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en España;2019;18.000
Total Nacional;07 Castilla y León;34 Palencia;Residentes en España;2018;11.000
Total Nacional;07 Castilla y León;24 León;Total ;2022;360.000
Total Nacional;07 Castilla y León;24 León;Total ;2021;230.000
Total Nacional;07 Castilla y León;24 León;Total ;2020;133.000
Total Nacional;07 Castilla y León;24 León;Total ;2019;245.000
Total Nacional;07 Castilla y León;24 León;Total ;2018;182.000
Total Nacional;07 Castilla y León;24 León;Residentes en el Extranjero;2022;59.000
Total Nacional;07 Castilla y León;24 León;Residentes en el Extranjero;2021;21.000
Total Nacional;07 Castilla y León;24 León;Residentes en el Extranjero;2020;13.000
Total Nacional;07 Castilla y León;24 León;Residentes en el Extranjero;2019;47.000
Total Nacional;07 Castilla y León;24 León;Residentes en el Extranjero;2018;36.000
Total Nacional;07 Castilla y León;24 León;Residentes en España;2022;301.000
Total Nacional;07 Castilla y León;24 León;Residentes en España;2021;209.000
Total Nacional;07 Castilla y León;24 León;Residentes en España;2020;121.000
Total Nacional;07 Castilla y León;24 León;Residentes en España;2019;199.000
Total Nacional;07 Castilla y León;24 León;Residentes en España;2018;147.000
Total Nacional;07 Castilla y León;09 Burgos;Total ;2022;247.000
Total Nacional;07 Castilla y León;09 Burgos;Total ;2021;139.000
Total Nacional;07 Castilla y León;09 Burgos;Total ;2020;71.000
Total Nacional;07 Castilla y León;09 Burgos;Total ;2019;146.000
Total Nacional;07 Castilla y León;09 Burgos;Total ;2018;103.000
Total Nacional;07 Castilla y León;09 Burgos;Residentes en el Extranjero;2022;59.000
Total Nacional;07 Castilla y León;09 Burgos;Residentes en el Extranjero;2021;22.000
Total Nacional;07 Castilla y León;09 Burgos;Residentes en el Extranjero;2020;11.000
Total Nacional;07 Castilla y León;09 Burgos;Residentes en el Extranjero;2019;41.000
Total Nacional;07 Castilla y León;09 Burgos;Residentes en el Extranjero;2018;32.000
